album_name,album_release_date,artist_name,is_playable,isrc,popularity,recordings_title,song_title,ingested_at
Tahun 2000,2024-06-22,ALMA ESBEYE,true,QM6P42448657,2,Tahun 2000,TAHUN 2000,2025-03-05 14:01:12
Mimpi Indahku,2023-12-16,FAISAL ALI,true,GXBAV2385597,0,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Naluri Lelaki (Special Edition),2016-09-21,SAMSONS,true,IDA050500907,52,Akhir Rasa Ini,AKHIR RASA INI,2025-03-05 14:01:12
Who Took My Money,2018-08-21,Krissie,true,TCADU1822787,3,Who Took My Money,WHO TOOK MY MONEY,2025-03-05 14:01:12
Eman Tenan,2023-03-14,Ilham Putra Sanjaya,true,IDA832301526,0,Eman Tenan,EMAN TENAN,2025-03-05 14:01:12
Mimipi Indahku,2020-10-01,Dessilvya,true,FRX872025450,0,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Tahun 2000,2023-08-15,Alisa,true,IDA832302135,4,Tahun 2000,TAHUN 2000,2025-03-05 14:01:12
Tahun 2000,2022-04-20,Nasida Ria,true,IDC302111126,25,Tahun 2000,TAHUN 2000,2025-03-05 14:01:12
Mimpi Indahku,2024-12-20,Evin WP,true,FRX762499223,0,Mimpi Indahku,MIMPI INDAHKU,2025-03-05 14:01:12
Dream Dancer,2021-12-10,lightcraft,true,QMDA72158971,0,Dream Dancer,DREAM DANCER,2025-03-05 14:01:12
"Koleksi Abadi Lagu Taman Kanak Kanak, Vol. 1",2005-04-15,Theresa,true,IDA130910710,19,Nina Bobo,NINA BOBO,2025-03-05 14:01:12
"Best Of Aini Record, Vol. 15",2018-01-01,Eny Sagita,true,UKFT41820501,0,Lingso Trisno,LINGSO TRISNO,2025-03-05 14:01:12
JANGAN KEMBALI,2023-10-25,Hendra Fvnky,true,QZZ662328288,35,JANGAN KEMBALI,JANGAN KEMBALI,2025-03-05 14:01:12
